"state","year","margin","vote","class","termshouse","termssenate","dopen","population","presdemvoteshlag1","demvoteshlag1","demvoteshlag2","demvoteshfor1","demwinprv1","demwinprv2","dmidterm","dpresdem"
"Connecticut",1914,-7.688561,36.097572,3,3,6,0,1233000,39.159367,NA,NA,46.239407,NA,NA,1,1
"Connecticut",1916,-3.9237082,45.468746,1,0,4,0,1294000,39.159367,42.076942,NA,36.097572,0,NA,0,1
"Connecticut",1922,-6.8686604,45.598213,1,0,7,0,1431000,33.027374,36.097572,46.239407,35.641209,0,0,1,0
"Connecticut",1926,-27.668056,48.476063,3,0,3,0,1531000,27.5257,45.468746,36.097572,45.598213,0,0,1,0
"Connecticut",1928,-8.2569685,51.746868,1,0,1,1,1577000,27.5257,35.641209,45.468746,48.476063,0,0,0,0
"Connecticut",1932,0.73248148,39.802643,3,4,1,0,1637000,45.574795,45.598213,35.641209,51.746868,0,0,0,0
"Connecticut",1934,3.4937382,53.15107,1,1,1,0,1650000,47.398193,48.476063,45.598213,39.802643,1,0,1,1
"Connecticut",1938,-3.0905752,51.987637,3,0,1,0,1684000,55.323048,51.746868,48.476063,53.15107,1,1,1,1
"Connecticut",1944,4.7034559,51.678295,3,0,1,0,1778000,53.438251,53.15107,39.802643,40.664639,1,0,0,1
"Connecticut",1952,-8.1198635,57.468903,1,0,2,0,2081000,47.910397,51.678295,40.664639,43.047768,1,0,0,1
"Connecticut",1956,-11.794811,51.254742,3,0,4,0,2316000,43.909779,44.360371,51.678295,57.468903,0,1,0,0
"Connecticut",1958,14.937806,64.644257,1,2,1,0,2446000,36.267632,43.047768,44.360371,51.254742,0,0,1,0
"Connecticut",1962,2.5094838,54.291164,3,2,1,1,2647000,53.730656,57.468903,43.047768,64.644257,1,0,1,1
"Connecticut",1964,29.306395,33.792454,1,2,4,0,2798000,53.730656,51.254742,57.468903,54.291164,1,1,0,1
"Connecticut",1968,8.5855637,63.674862,3,2,4,0,2964000,67.806,64.644257,51.254742,33.792454,1,1,0,1
"Connecticut",1970,-7.9507647,41.217743,1,1,1,1,3032217,49.478199,54.291164,64.644257,63.674862,1,1,1,0
"Connecticut",1974,29.381487,56.341518,3,2,7,0,3074047,40.129108,33.792454,54.291164,41.217743,0,1,1,0
"Connecticut",1976,-16.506035,46.067585,1,1,4,0,3083335,40.129108,63.674862,33.792454,56.341518,1,0,0,0
"Connecticut",1980,13.428482,64.763397,3,3,1,1,3107576,47.08382,41.217743,63.674862,46.067585,0,1,0,1
"Connecticut",1982,-4.3230863,49.764439,1,1,7,0,3139013,38.377731,56.341518,41.217743,64.763397,1,0,1,0
"Connecticut",1986,29.915768,58.812016,3,3,4,0,3223740,38.835964,46.067585,56.341518,49.764439,0,1,1,0
"Connecticut",1988,0.72604716,67.043266,1,0,1,0,3271953,38.835964,64.763397,46.067585,58.812016,1,0,0,0
"Connecticut",1992,20.693081,65.146088,3,3,7,0,3274997,46.874748,49.764439,64.763397,67.043266,1,1,0,0
"Connecticut",1994,36.03056,63.214111,1,NA,NA,0,3268346,42.213978,58.812016,49.764439,65.146088,1,1,1,0
"Connecticut",1998,32.777927,65.360603,3,NA,NA,0,3272563,52.831585,67.043266,58.812016,63.214111,1,1,1,0
"Connecticut",2000,29.042652,39.729641,1,NA,NA,0,3405650,52.831585,65.146088,67.043266,65.360603,1,1,0,0
"Connecticut",2004,33.712173,55.158417,3,NA,NA,0,3496094,55.909626,63.214111,65.146088,39.729641,1,1,0,0
"Connecticut",2006,-10.917887,NA,1,NA,NA,0,3517460,54.313705,65.360603,63.214111,55.158417,1,1,1,0
"Connecticut",2010,11.941481,NA,3,NA,NA,1,3574097,60.588829,39.729641,65.360603,NA,0,1,1,0
"Maine",1916,-6.8523526,42.495945,1,0,1,0,775000,39.426571,NA,NA,44.432255,NA,NA,0,1
"Maine",1918,-11.135491,39.570938,2,0,3,0,760000,46.974632,45.981895,NA,42.495945,0,NA,1,1
"Maine",1922,-15.008113,30.358973,1,0,4,0,778000,33.291225,44.432255,45.981895,39.570938,0,0,1,0
"Maine",1928,-39.282055,49.709076,1,0,7,0,797000,21.834415,39.570938,42.495945,39.05526,0,0,0,0
"Maine",1930,-21.889481,49.253906,2,7,1,1,800000,30.964613,30.358973,39.570938,49.709076,0,0,1,0
"Maine",1934,-0.43046474,41.273411,1,0,10,0,829000,43.193027,39.05526,30.358973,49.253906,0,0,1,1
"Maine",1936,-1.4921904,33.33094,2,7,4,0,840000,43.193027,49.709076,39.05526,41.273411,0,0,0,1
"Maine",1940,-17.334133,36.453655,1,3,1,1,849000,41.576603,49.253906,49.709076,33.33094,0,0,0,1
"Maine",1942,-33.33812,28.699789,2,7,7,0,839000,48.771351,41.273411,49.253906,36.453655,0,0,1,1
"Maine",1946,-27.092691,37.258305,1,3,4,0,832000,47.446354,33.33094,41.273411,28.699789,0,0,1,1
"Maine",1948,-42.600422,41.392105,2,5,1,1,878000,47.446354,36.453655,33.33094,37.258305,0,0,0,1
"Maine",1952,-25.483395,60.781956,1,0,1,1,915000,42.386963,28.699789,36.453655,41.392105,0,0,0,1
"Maine",1954,-17.215788,38.351185,2,5,4,0,927000,33.832539,37.258305,28.699789,60.781956,0,0,1,0
"Maine",1958,21.563911,66.616829,1,0,1,0,944000,29.134563,41.392105,37.258305,38.351185,0,0,1,0
"Maine",1960,-23.297632,41.053513,2,5,7,0,969000,29.134563,60.781956,41.392105,66.616829,1,0,0,0
"Maine",1964,33.233654,61.740875,1,0,4,0,993000,42.952389,38.351185,60.781956,41.053513,0,1,0,1
"Maine",1966,-17.892977,53.231586,2,5,10,0,999000,68.842018,66.616829,38.351185,61.740875,1,0,1,1
"Maine",1970,23.48175,60.203255,1,0,7,0,993722,55.304684,41.053513,66.616829,53.231586,0,1,1,0
"Maine",1972,6.4631729,33.938301,2,4,1,0,1034292,55.304684,61.740875,41.053513,60.203255,1,0,0,0
"Maine",1978,-22.647476,25.865877,2,3,1,0,1113566,48.094074,60.203255,53.231586,60.867928,1,1,1,1
"Maine",1984,-47.476452,38.640259,2,3,4,0,1155635,42.250355,60.867928,33.938301,81.295517,1,0,0,0
"Maine",1988,62.595875,36.355286,1,0,6,0,1203840,38.78104,25.865877,60.867928,38.640259,0,1,0,0
"Maine",1990,-22.700262,43.875427,2,3,7,0,1231296,43.883537,81.295517,25.865877,36.355286,1,0,1,0
"Maine",1994,-23.880028,31.058702,1,NA,NA,1,1237687,38.7668,38.640259,81.295517,43.875427,0,1,1,0
"Maine",1996,-5.3060679,41.56435,2,NA,NA,1,1241436,38.7668,36.355286,38.640259,31.058702,0,0,0,0
"Maine",2000,-37.882599,20.586014,1,NA,NA,0,1274779,51.623959,43.875427,36.355286,41.56435,0,0,0,0
"Maine",2002,-16.871298,38.583435,2,NA,NA,0,1295960,49.086018,31.058702,43.875427,20.586014,0,0,1,0
"Maine",2006,-53.423553,NA,1,NA,NA,0,1323619,53.572857,41.56435,31.058702,38.583435,0,0,1,0
"Maine",2008,-22.747543,NA,2,NA,NA,0,1330509,53.572857,20.586014,41.56435,NA,0,0,0,0
"Massachusetts",1916,-6.3711939,46.747425,1,3,13,0,3726000,35.53035,NA,NA,49.654655,NA,NA,0,1
"Massachusetts",1918,4.5928836,48.609619,2,0,1,0,3695000,46.610519,45.307243,NA,46.747425,0,NA,1,1
