state,year,vote,margin,class,termshouse,termssenate,population
1,1914,36.097572,-7.688561,3,3,6,1233000
1,1916,45.468746,-3.9237082,1,0,4,1294000
1,1922,45.598213,-6.8686604,1,0,7,1431000
1,1926,48.476063,-27.668056,3,0,3,1531000
1,1928,51.746868,-8.2569685,1,0,1,1577000
1,1932,39.802643,0.73248148,3,4,1,1637000
1,1934,53.15107,3.4937382,1,1,1,1650000
1,1938,51.987637,-3.0905752,3,0,1,1684000
1,1944,51.678295,4.7034559,3,0,1,1778000
1,1952,57.468903,-8.1198635,1,0,2,2081000
1,1956,51.254742,-11.794811,3,0,4,2316000
1,1958,64.644257,14.937806,1,2,1,2446000
1,1962,54.291164,2.5094838,3,2,1,2647000
1,1964,33.792454,29.306395,1,2,4,2798000
1,1968,63.674862,8.5855637,3,2,4,2964000
1,1970,41.217743,-7.9507647,1,1,1,3032217
1,1974,56.341518,29.381487,3,2,7,3074047
1,1976,46.067585,-16.506035,1,1,4,3083335
1,1980,64.763397,13.428482,3,3,1,3107576
1,1982,49.764439,-4.3230863,1,1,7,3139013
1,1986,58.812016,29.915768,3,3,4,3223740
1,1988,67.043266,0.72604716,1,0,1,3271953
1,1992,65.146088,20.693081,3,3,7,3274997
1,1994,63.214111,36.03056,1,,,3268346
1,1998,65.360603,32.777927,3,,,3272563
1,2000,39.729641,29.042652,1,,,3405650
1,2004,55.158417,33.712173,3,,,3496094
1,2006,,-10.917887,1,,,3517460
1,2010,,11.941481,3,,,3574097
2,1916,42.495945,-6.8523526,1,0,1,775000
2,1918,39.570938,-11.135491,2,0,3,760000
2,1922,30.358973,-15.008113,1,0,4,778000
2,1928,49.709076,-39.282055,1,0,7,797000
2,1930,49.253906,-21.889481,2,7,1,800000
2,1934,41.273411,-0.43046474,1,0,10,829000
2,1936,33.33094,-1.4921904,2,7,4,840000
2,1940,36.453655,-17.334133,1,3,1,849000
2,1942,28.699789,-33.33812,2,7,7,839000
2,1946,37.258305,-27.092691,1,3,4,832000
2,1948,41.392105,-42.600422,2,5,1,878000
2,1952,60.781956,-25.483395,1,0,1,915000
2,1954,38.351185,-17.215788,2,5,4,927000
2,1958,66.616829,21.563911,1,0,1,944000
2,1960,41.053513,-23.297632,2,5,7,969000
2,1964,61.740875,33.233654,1,0,4,993000
2,1966,53.231586,-17.892977,2,5,10,999000
2,1970,60.203255,23.48175,1,0,7,993722
2,1972,33.938301,6.4631729,2,4,1,1034292
2,1978,25.865877,-22.647476,2,3,1,1113566
2,1984,38.640259,-47.476452,2,3,4,1155635
2,1988,36.355286,62.595875,1,0,6,1203840
2,1990,43.875427,-22.700262,2,3,7,1231296
2,1994,31.058702,-23.880028,1,,,1237687
2,1996,41.56435,-5.3060679,2,,,1241436
2,2000,20.586014,-37.882599,1,,,1274779
2,2002,38.583435,-16.871298,2,,,1295960
2,2006,,-53.423553,1,,,1323619
2,2008,,-22.747543,2,,,1330509
3,1916,46.747425,-6.3711939,1,3,13,3726000
3,1918,48.609619,4.5928836,2,0,1,3695000
3,1924,54.011559,-1.6500294,2,16,1,4102000
3,1928,59.388329,8.163661,1,0,6,4217000
3,1930,41.020775,9.3379946,2,0,1,4250000
3,1934,55.63559,22.012463,1,0,9,4305000
3,1936,46.606186,-7.508719,2,0,1,4355000
3,1940,39.721718,12.810659,1,0,12,4318000
3,1946,51.346008,-19.826927,1,0,5,4494000
3,1948,49.024887,-6.5218925,2,0,3,4674000
3,1952,73.195274,2.9967933,1,3,1,4650000
3,1954,43.457664,-1.516661,2,0,6,4910000
3,1960,38.739037,-12.731796,2,0,9,5149000
3,1964,62.143604,48.84214,1,0,3,5448000
3,1966,34.727562,-21.936161,2,0,1,5535000
3,1970,69.308723,25.153763,1,0,6,5689170
3,1972,55.057812,-28.795755,2,0,4,5760302
3,1976,60.811089,40.301617,1,0,9,5743672
3,1978,55.054295,10.207936,2,2,1,5736469
3,1982,64.973053,22.551838,1,0,12,5771222
